dataset,rows,avg_len,median_len,avg_tokens,avg_confidence,sarcastic_share
After Forming Government,2517,49.77671831545491,34.0,8.451728247914184,0.5184497660326441,0.3520063567739372
After Election,1935,38.90025839793282,28.0,6.815503875968992,0.5275496552522528,0.4573643410852713
Before Election some,1370,42.941605839416056,33.5,7.427737226277372,0.5489616714693243,0.33065693430656934
After Election with Location,747,40.48995983935743,32.0,6.9410977242302545,0.6335036540039518,0.4605087014725569
