period,location,location_mentions,unique_comments,comment_share
post_election_upto_forming_government,বান্দরবান,3,3,0.0009230769230769231
post_election_upto_forming_government,হবিগঞ্জ,3,3,0.0009230769230769231
post_election_upto_forming_government,জয়পুরহাট,2,2,0.0006153846153846154
post_election_upto_forming_government,নেত্রকোনা,2,2,0.0006153846153846154
post_election_upto_forming_government,মানিকগঞ্জ,2,2,0.0006153846153846154
post_election_upto_forming_government,মেহেরপুর,2,2,0.0006153846153846154
post_election_upto_forming_government,রাঙ্গামাটি,2,2,0.0006153846153846154
post_election_upto_forming_government,রাজবাড়ী,2,2,0.0006153846153846154
post_election_upto_forming_government,শেরপুর,2,2,0.0006153846153846154
post_election_upto_forming_government,MunশIganj,1,1,0.0003076923076923077
post_election_upto_forming_government,খাও হালুয়া,1,1,0.0003076923076923077
post_election_upto_forming_government,টাঙ্গাইল,1,1,0.0003076923076923077
post_election_upto_forming_government,নারায়ণগঞ্জ,1,1,0.0003076923076923077
post_election_upto_forming_government,পটুয়াখালী,1,1,0.0003076923076923077
post_election_upto_forming_government,মাগুরা,1,1,0.0003076923076923077
post_election_upto_forming_government,মুন্সিগঞ্জ,1,1,0.0003076923076923077
post_election_upto_forming_government,লালমনিরহাট,1,1,0.0003076923076923077
post_forming_government,Dhaka,1041,1010,0.6102719033232629
post_forming_government,Chattogram,265,242,0.14622356495468278
post_forming_government,Khulna,124,119,0.07190332326283988
post_forming_government,Barishal,120,109,0.06586102719033232
post_forming_government,Cumilla,79,66,0.03987915407854985
post_forming_government,Sylhet,78,67,0.0404833836858006
post_forming_government,Gazipur,72,71,0.042900302114803626
post_forming_government,Rangpur,57,56,0.033836858006042296
post_forming_government,Mymensingh,55,55,0.03323262839879154
post_forming_government,Rajshahi,52,47,0.0283987915407855
post_forming_government,Noakhali,51,51,0.03081570996978852
post_forming_government,Bogura,36,32,0.01933534743202417
post_forming_government,Cox's Bazar,36,32,0.01933534743202417
post_forming_government,Pabna,34,34,0.02054380664652568
post_forming_government,Tangail,29,29,0.017522658610271902
post_forming_government,Chandpur,28,28,0.016918429003021148
post_forming_government,Kishoreganj,28,28,0.016918429003021148
post_forming_government,Sirajganj,28,28,0.016918429003021148
post_forming_government,Feni,25,24,0.014501510574018127
post_forming_government,Kushtia,25,25,0.015105740181268883
post_forming_government,Jessore,24,24,0.014501510574018127
post_forming_government,Narayanganj,24,24,0.014501510574018127
post_forming_government,Dinajpur,23,23,0.013897280966767372
post_forming_government,Bhola,22,22,0.013293051359516616
post_forming_government,Lakshmipur,22,22,0.013293051359516616
post_forming_government,Jamalpur,20,20,0.012084592145015106
post_forming_government,Brahmanbaria,19,19,0.011480362537764351
post_forming_government,Faridpur,19,19,0.011480362537764351
post_forming_government,Satkhira,19,19,0.011480362537764351
post_forming_government,Narsingdi,18,18,0.010876132930513595
post_forming_government,নরসিংদী,16,16,0.009667673716012085
post_forming_government,Natore,14,14,0.008459214501510574
post_forming_government,Patuakhali,14,14,0.008459214501510574
post_forming_government,Sherpur,13,13,0.00785498489425982
post_forming_government,Munshiganj,12,12,0.0072507552870090634
post_forming_government,কিশোরগঞ্জ,12,12,0.0072507552870090634
post_forming_government,Manikganj,11,11,0.006646525679758308
post_forming_government,Bagerhat,10,10,0.006042296072507553
post_forming_government,Lalmonirhat,9,9,0.005438066465256798
post_forming_government,Magura,9,9,0.005438066465256798
post_forming_government,Sunamganj,9,9,0.005438066465256798
post_forming_government,Thakurgaon,9,9,0.005438066465256798
post_forming_government,Narail,8,7,0.004229607250755287
post_forming_government,পাবনা,8,8,0.004833836858006042
post_forming_government,বগুড়া,8,8,0.004833836858006042
post_forming_government,Habiganj,7,7,0.004229607250755287
post_forming_government,Panchagarh,7,7,0.004229607250755287
post_forming_government,যশোর,7,7,0.004229607250755287
post_forming_government,Gopalganj,6,6,0.0036253776435045317
post_forming_government,Jhenaidah,6,6,0.0036253776435045317
post_forming_government,Naogaon,6,6,0.0036253776435045317
post_forming_government,Rangamati,6,6,0.0036253776435045317
post_forming_government,চাঁদপুর,6,6,0.0036253776435045317
post_forming_government,নোয়াখালী,6,6,0.0036253776435045317
post_forming_government,Barguna,5,5,0.0030211480362537764
post_forming_government,Joypurhat,5,5,0.0030211480362537764
post_forming_government,Pirojpur,5,5,0.0030211480362537764
post_forming_government,কুষ্টিয়া,5,5,0.0030211480362537764
post_forming_government,নাটোর,5,5,0.0030211480362537764
post_forming_government,ফরিদপুর,5,5,0.0030211480362537764
post_forming_government,ভোলা,5,5,0.0030211480362537764
post_forming_government,ময়মনসিংহ,5,5,0.0030211480362537764
post_forming_government,Jashore,4,4,0.002416918429003021
post_forming_government,Madaripur,4,4,0.002416918429003021
post_forming_government,Nilphamari,4,4,0.002416918429003021
post_forming_government,Shariatpur,4,4,0.002416918429003021
post_forming_government,ঝিনাইদহ,4,4,0.002416918429003021
post_forming_government,দিনাজপুর,4,4,0.002416918429003021
post_forming_government,Bandarban,3,3,0.0018126888217522659
post_forming_government,Chapainawabganj,3,3,0.0018126888217522659
post_forming_government,Gaibandha,3,3,0.0018126888217522659
post_forming_government,চাঁপাইনবাবগঞ্জ,3,3,0.0018126888217522659
post_forming_government,জামালপুর,3,3,0.0018126888217522659
post_forming_government,ঠাকুরগাঁও,3,3,0.0018126888217522659
post_forming_government,নওগাঁ,3,3,0.0018126888217522659
post_forming_government,পঞ্চগড়,3,3,0.0018126888217522659
post_forming_government,সাতক্ষীরা,3,3,0.0018126888217522659
post_forming_government,সিরাজগঞ্জ,3,3,0.0018126888217522659
post_forming_government,Chuadanga,2,2,0.0012084592145015106
post_forming_government,Netrokona,2,2,0.0012084592145015106
post_forming_government,গাইবান্ধা,2,2,0.0012084592145015106
post_forming_government,পিরোজপুর,2,2,0.0012084592145015106
post_forming_government,বরগুনা,2,2,0.0012084592145015106
post_forming_government,বান্দরবান,2,2,0.0012084592145015106
post_forming_government,শেরপুর,2,2,0.0012084592145015106
post_forming_government,সুনামগঞ্জ,2,2,0.0012084592145015106
post_forming_government,Jhalokati,1,1,0.0006042296072507553
post_forming_government,Kurigram,1,1,0.0006042296072507553
post_forming_government,Moulvibazar,1,1,0.0006042296072507553
