period,location,sentiment,comments,avg_confidence,share
post_election_upto_forming_government,Gazipur,negative,49,0.4958647580333437,0.37404580152671757
post_election_upto_forming_government,Gazipur,neutral,8,0.6420620460081304,0.061068702290076333
post_election_upto_forming_government,Gazipur,positive,16,0.49336825343630936,0.12213740458015267
post_election_upto_forming_government,Gazipur,sarcastic_negative,58,0.4320832346593556,0.44274809160305345
post_election_upto_forming_government,Gopalganj,negative,3,0.6065257655798898,0.23076923076923078
post_election_upto_forming_government,Gopalganj,neutral,2,0.6206593150280826,0.15384615384615385
post_election_upto_forming_government,Gopalganj,positive,1,0.5424402573130659,0.07692307692307693
post_election_upto_forming_government,Gopalganj,sarcastic_negative,7,0.45331284574551944,0.5384615384615384
post_election_upto_forming_government,Habiganj,negative,5,0.4507510673305524,0.35714285714285715
post_election_upto_forming_government,Habiganj,neutral,2,0.47229012570256074,0.14285714285714285
post_election_upto_forming_government,Habiganj,positive,2,0.5818777598475381,0.14285714285714285
post_election_upto_forming_government,Habiganj,sarcastic_negative,5,0.46630533836314403,0.35714285714285715
post_election_upto_forming_government,Jamalpur,negative,8,0.50701715413799,0.23529411764705882
post_election_upto_forming_government,Jamalpur,neutral,1,0.38563109896782516,0.029411764705882353
post_election_upto_forming_government,Jamalpur,positive,5,0.46002580332294407,0.14705882352941177
post_election_upto_forming_government,Jamalpur,sarcastic_negative,20,0.4341050825789582,0.5882352941176471
post_election_upto_forming_government,Jashore,negative,2,0.546805513471767,0.25
post_election_upto_forming_government,Jashore,positive,1,0.3925120606402644,0.125
post_election_upto_forming_government,Jashore,sarcastic_negative,5,0.3730093923897318,0.625
post_election_upto_forming_government,Jessore,negative,10,0.4725843294942977,0.2222222222222222
post_election_upto_forming_government,Jessore,neutral,6,0.5169101881197736,0.13333333333333333
post_election_upto_forming_government,Jessore,positive,4,0.5247123747772192,0.08888888888888889
post_election_upto_forming_government,Jessore,sarcastic_negative,25,0.3870460640750455,0.5555555555555556
post_election_upto_forming_government,Jhenaidah,positive,2,0.5206758707888106,0.6666666666666666
post_election_upto_forming_government,Jhenaidah,sarcastic_negative,1,0.35708045184972087,0.3333333333333333
post_election_upto_forming_government,Joypurhat,neutral,2,0.6225239020153024,0.3333333333333333
post_election_upto_forming_government,Joypurhat,positive,4,0.5345380108921458,0.6666666666666666
post_election_upto_forming_government,Khulna,negative,50,0.4581506810049631,0.2777777777777778
post_election_upto_forming_government,Khulna,neutral,17,0.5862478334698797,0.09444444444444444
post_election_upto_forming_government,Khulna,positive,22,0.538381455799184,0.12222222222222222
post_election_upto_forming_government,Khulna,sarcastic_negative,91,0.4210833838911025,0.5055555555555555
post_election_upto_forming_government,Kishoreganj,negative,10,0.44621191885311584,0.23809523809523808
post_election_upto_forming_government,Kishoreganj,neutral,6,0.7596312855962171,0.14285714285714285
post_election_upto_forming_government,Kishoreganj,positive,3,0.5318426157433116,0.07142857142857142
post_election_upto_forming_government,Kishoreganj,sarcastic_negative,23,0.448037175845404,0.5476190476190477
post_election_upto_forming_government,Kurigram,negative,3,0.4794096332806272,0.2727272727272727
post_election_upto_forming_government,Kurigram,neutral,2,0.7233219446825309,0.18181818181818182
post_election_upto_forming_government,Kurigram,positive,1,0.629881219473077,0.09090909090909091
post_election_upto_forming_government,Kurigram,sarcastic_negative,5,0.47693854578270567,0.45454545454545453
post_election_upto_forming_government,Kushtia,negative,9,0.4755428399587317,0.28125
post_election_upto_forming_government,Kushtia,neutral,1,0.5932958829905715,0.03125
post_election_upto_forming_government,Kushtia,positive,2,0.5712178436099664,0.0625
post_election_upto_forming_government,Kushtia,sarcastic_negative,20,0.4155072088008426,0.625
post_election_upto_forming_government,Lakshmipur,negative,16,0.4516666508654207,0.3902439024390244
post_election_upto_forming_government,Lakshmipur,neutral,3,0.4078971679349748,0.07317073170731707
post_election_upto_forming_government,Lakshmipur,positive,3,0.4734872218069112,0.07317073170731707
post_election_upto_forming_government,Lakshmipur,sarcastic_negative,19,0.4740898537899378,0.4634146341463415
post_election_upto_forming_government,Lalmonirhat,negative,5,0.473046863929892,0.2777777777777778
post_election_upto_forming_government,Lalmonirhat,neutral,1,0.31419288097972153,0.05555555555555555
post_election_upto_forming_government,Lalmonirhat,positive,4,0.527150546576215,0.2222222222222222
post_election_upto_forming_government,Lalmonirhat,sarcastic_negative,8,0.47671653427323146,0.4444444444444444
post_election_upto_forming_government,Madaripur,negative,6,0.38702662426769546,0.3
post_election_upto_forming_government,Madaripur,neutral,1,0.5559724099602137,0.05
post_election_upto_forming_government,Madaripur,positive,4,0.4589026897016986,0.2
post_election_upto_forming_government,Madaripur,sarcastic_negative,9,0.4935290296892926,0.45
post_election_upto_forming_government,Magura,negative,4,0.3905662942298761,0.3076923076923077
post_election_upto_forming_government,Magura,neutral,2,0.42711612017298173,0.15384615384615385
post_election_upto_forming_government,Magura,sarcastic_negative,7,0.4158313588356955,0.5384615384615384
post_election_upto_forming_government,Manikganj,negative,4,0.49689700730113395,0.23529411764705882
post_election_upto_forming_government,Manikganj,neutral,2,0.6099745118417302,0.11764705882352941
post_election_upto_forming_government,Manikganj,positive,2,0.4224129921516696,0.11764705882352941
post_election_upto_forming_government,Manikganj,sarcastic_negative,9,0.47133770053767204,0.5294117647058824
post_election_upto_forming_government,Meherpur,positive,1,0.5320541379374363,0.3333333333333333
post_election_upto_forming_government,Meherpur,sarcastic_negative,2,0.36699468407207136,0.6666666666666666
post_election_upto_forming_government,Moulvibazar,negative,2,0.37501770440652915,0.4
post_election_upto_forming_government,Moulvibazar,sarcastic_negative,3,0.583381532760117,0.6
post_election_upto_forming_government,Munshiganj,negative,10,0.42426163968148084,0.35714285714285715
post_election_upto_forming_government,Munshiganj,neutral,2,0.42299479922015465,0.07142857142857142
post_election_upto_forming_government,Munshiganj,positive,4,0.4613157232823537,0.14285714285714285
post_election_upto_forming_government,Munshiganj,sarcastic_negative,12,0.443521086328544,0.42857142857142855
post_election_upto_forming_government,MunশIganj,positive,1,0.4290590732745215,1.0
post_election_upto_forming_government,Mymensingh,negative,28,0.48694460577206794,0.3181818181818182
post_election_upto_forming_government,Mymensingh,neutral,6,0.45008682393066035,0.06818181818181818
post_election_upto_forming_government,Mymensingh,positive,15,0.43433353536431707,0.17045454545454544
post_election_upto_forming_government,Mymensingh,sarcastic_negative,39,0.4610466714155784,0.4431818181818182
post_election_upto_forming_government,Naogaon,negative,3,0.5475428019916139,0.15789473684210525
post_election_upto_forming_government,Naogaon,neutral,3,0.5731997849071234,0.15789473684210525
post_election_upto_forming_government,Naogaon,positive,5,0.4969755667282055,0.2631578947368421
post_election_upto_forming_government,Naogaon,sarcastic_negative,8,0.43290101808861015,0.42105263157894735
post_election_upto_forming_government,Narail,negative,2,0.4909336954375245,0.2
post_election_upto_forming_government,Narail,neutral,2,0.8487865632390106,0.2
post_election_upto_forming_government,Narail,positive,1,0.41297521611352156,0.1
post_election_upto_forming_government,Narail,sarcastic_negative,5,0.45821941410044315,0.5
