dataset,dataset_slug,topic_id,topic_prevalence,top_terms,term_1,weight_1,term_2,weight_2,term_3,weight_3,term_4,weight_4,term_5,weight_5,term_6,weight_6,term_7,weight_7,term_8,weight_8,term_9,weight_9,term_10,weight_10
After Forming Government,after_forming_government,0,0.20440745718418746,"শপথ, সংবিধান, আলহামদুলিল্লাহ, সংস্কার, ভোট, নির্বাচন, তাহলে, শুরু, হয়ে, অনুযায়ী",শপথ,88.20682175457902,সংবিধান,82.19394904257466,আলহামদুলিল্লাহ,50.1941832063926,সংস্কার,48.62378041499997,ভোট,47.84078568384531,নির্বাচন,47.19385342148894,তাহলে,41.16115333764768,শুরু,36.61892033198123,হয়ে,35.856985722197024,অনুযায়ী,29.196170779767602
After Forming Government,after_forming_government,1,0.21551754641820314,"ভালো, কাজে, চাই, দেখতে, তারেক, এটাই, ইনশাআল্লাহ, আবার, ধন্যবাদ, নয়",ভালো,58.08316324763615,কাজে,58.04889099337031,চাই,56.192993069378424,দেখতে,31.171154582125464,তারেক,30.14837380241015,এটাই,28.195752301952897,ইনশাআল্লাহ,27.161623659192045,আবার,26.89285394762216,ধন্যবাদ,26.45436888564628,নয়,26.334929682108566
After Forming Government,after_forming_government,2,0.20684508261093412,"করতে, যুদ্ধ, বিরুদ্ধে, জনগণ, নিজের, ঠিক, এগিয়ে, পল্টি, আপনারা, দেশের",করতে,55.25004689819993,যুদ্ধ,45.196666364866324,বিরুদ্ধে,36.48331261055902,জনগণ,36.430756687352705,নিজের,33.1236334761734,ঠিক,32.17217182751963,এগিয়ে,28.19628017594365,পল্টি,25.195580172927738,আপনারা,25.121367590236165,দেশের,23.97619544905887
After Forming Government,after_forming_government,3,0.1755485650530031,"আল্লাহ, বলে, ভাই, নাই, বড়, করেন, কাজ, প্রথম, বাবা, জুলাই",আল্লাহ,55.194423693685415,বলে,47.7671998453706,ভাই,35.15288538574169,নাই,31.71314532326822,বড়,29.941306923405595,করেন,27.665777165396825,কাজ,25.42891872405426,প্রথম,22.43235337830228,বাবা,21.19557326512561,জুলাই,21.040869935951566
After Forming Government,after_forming_government,4,0.19768134873366952,"মাফিয়া, শুরু, মনে, নিজেই, সিদ্ধান্ত, জুলাই, বিএনপি, তাহলে, নিজে, সে",মাফিয়া,61.3086223280578,শুরু,58.79483660138724,মনে,41.65383099830437,নিজেই,40.19617746377968,সিদ্ধান্ত,36.195675151806206,জুলাই,28.597758563876116,বিএনপি,28.526617250316544,তাহলে,27.51300694141253,নিজে,25.192625347767024,সে,23.196658172795043
