dataset,term,count,relative_freq,others_avg_relative_freq,distinctiveness_score
After Forming Government Data With Location,জ্বলে,10,0.0010995052226498076,8.91622770035584e-05,0.0010103429456462493
After Forming Government Data With Location,খাবি,11,0.0012094557449147884,0.00019943019943019944,0.001010025545484589
After Forming Government Data With Location,জুলাই,23,0.0025288620120945573,0.0015284324676388746,0.0010004295444556827
After Forming Government Data With Location,পিছে,9,0.0009895547003848269,0.0,0.0009895547003848269
After Forming Government Data With Location,পায়,10,0.0010995052226498076,0.00014245014245014244,0.0009570550801996652
After Forming Government Data With Location,বছর,22,0.002418911489829577,0.0014761921059700455,0.0009427193838595312
After Forming Government Data With Location,কথায়,13,0.00142935678944475,0.0004954070589309031,0.0009339497305138468
After Forming Government Data With Location,ছাত্রলীগের,9,0.0009895547003848269,5.698005698005698e-05,0.0009325746434047699
After Forming Government Data With Location,রাকিব,9,0.0009895547003848269,6.067224851352991e-05,0.0009288824518712969
After Forming Government Data With Location,বাহ,17,0.001869158878504673,0.0009660162809052508,0.0009031425975994222
After Forming Government Data With Location,ছাত্র,12,0.0013194062671797692,0.0004173213565277635,0.0009020849106520057
After Forming Government Data With Location,সহ,10,0.0010995052226498076,0.00019943019943019944,0.0009000750232196082
After Forming Government Data With Location,গো,10,0.0010995052226498076,0.00020312239096367235,0.0008963828316861353
After Forming Government Data With Location,জমিদারের,8,0.0008796041781198461,0.0,0.0008796041781198461
After Forming Government Data With Location,দৌড়ানো,8,0.0008796041781198461,0.0,0.0008796041781198461
After Forming Government Data With Location,চিন্তা,10,0.0010995052226498076,0.00023161241945370085,0.0008678928031961067
After Forming Government Data With Location,আপনাদের,22,0.002418911489829577,0.0015516331206174671,0.0008672783692121096
After Forming Government Data With Location,সংসদে,13,0.00142935678944475,0.0005734927613340428,0.0008558640281107071
After Forming Government Data With Location,নাতি,8,0.0008796041781198461,2.849002849002849e-05,0.0008511141496298176
After Forming Government Data With Location,আমাদেরও,8,0.0008796041781198461,2.849002849002849e-05,0.0008511141496298176
After Forming Government Data With Location,যুক্তি,9,0.0009895547003848269,0.00017094017094017094,0.0008186145294446559
After Forming Government Data With Location,বলেছেন,12,0.0013194062671797692,0.000502791441997849,0.0008166148251819202
After Forming Government Data With Location,বাজার,9,0.0009895547003848269,0.00017463236247364385,0.000814922337911183
After Forming Government Data With Location,আহারে,17,0.001869158878504673,0.0010936976572215014,0.0007754612212831715
After Forming Government Data With Location,যান,14,0.0015393073117097307,0.0007665860814750512,0.0007727212302346795
After Forming Government Data With Location,ঠিকই,9,0.0009895547003848269,0.0002279202279202279,0.000761634472464599
After Forming Government Data With Location,মায়ের,8,0.0008796041781198461,0.00012134449702705982,0.0007582596810927863
After Forming Government Data With Location,প্রয়োজনে,9,0.0009895547003848269,0.00023161241945370085,0.000757942280931126
After Forming Government Data With Location,পুলিশ,10,0.0010995052226498076,0.0003418803418803419,0.0007576248807694658
