dataset,dataset_slug,topic_id,topic_prevalence,top_terms,term_1,weight_1,term_2,weight_2,term_3,weight_3,term_4,weight_4,term_5,weight_5,term_6,weight_6,term_7,weight_7,term_8,weight_8,term_9,weight_9,term_10,weight_10
After Election,after_election,0,0.18966908798828752,"মনে, দাঁড়িপাল্লা, নাই, বলে, আলহামদুলিল্লাহ, বাটপার, ইনশাআল্লাহ, তাহলে, ভোট, তামিম",মনে,33.93503374104453,দাঁড়িপাল্লা,31.195409544113403,নাই,29.864416846925746,বলে,22.511934445527576,আলহামদুলিল্লাহ,22.195684788404588,বাটপার,19.078528177006376,ইনশাআল্লাহ,18.262994630710327,তাহলে,17.56208647925932,ভোট,16.778348662799825,তামিম,15.131292075632304
After Election,after_election,1,0.21002895457377554,"ভোট, বাংলাদেশ, খবর, আজ, ঠিক, নতুন, শেষ, পাল্লা, কাক্কু, ভালো",ভোট,53.744764667535605,বাংলাদেশ,37.42656346219615,খবর,28.82848187036716,আজ,25.83363859813327,ঠিক,24.017793671161836,নতুন,23.827560396794027,শেষ,21.0980299360305,পাল্লা,18.19527818048577,কাক্কু,17.19308512776833,ভালো,16.74080480974885
After Election,after_election,2,0.1819045636813587,"দাদু, ভোট, কাকু, নাটক, হয়ে, নাকি, রহমান, মুখে, আবার, খবর",দাদু,46.196016393196025,ভোট,36.53104993220095,কাকু,25.850621645458176,নাটক,19.196157949613895,হয়ে,16.84089245293628,নাকি,16.284170052524903,রহমান,13.886720365066667,মুখে,13.209958811056982,আবার,13.024090742505456,খবর,12.975247796864608
After Election,after_election,3,0.2073838219677034,"ভোট, দালাল, আল্লাহ, সাদা, প্রথম, শকুন, করতে, করেন, দেশের, জনগণ",ভোট,81.74498977901158,দালাল,55.196186458387224,আল্লাহ,55.18867038482612,সাদা,42.19545364169033,প্রথম,32.06265371264964,শকুন,31.19534719827743,করতে,24.811079641092277,করেন,20.19485454728847,দেশের,19.830171012168027,জনগণ,18.993050861843106
After Election,after_election,4,0.21101357178887334,"ইনশাআল্লাহ, বিজয়, ধানের, জয়, একটু, মন, শীষ, এবার, খারাপ, শীষের",ইনশাআল্লাহ,132.13207315582008,বিজয়,60.212331854101556,ধানের,47.04114073810456,জয়,26.458155930627342,একটু,25.922908490829457,মন,22.025976780724804,শীষ,21.197110677535424,এবার,21.180212841568686,খারাপ,19.19813602682093,শীষের,16.19952854375873
